curso;EVENTO;PROGRAMA;CATEGORIA;FORMATO;Data de Inclusão do Curso;CARGA-HORÁRIA;MODALIDADE;SITUAÇÃO;VALOR CONTRATADO
10034/2025;Ortografia e Gramática para Escritório;PDL;PESSOAL;INTERNO;06/11/2025;24;EAD;Realizado;1.350,80
10035/2025;Mobile App Development;PDS;TÉCNICA;INTERNO;13/01/2025;36;EAD;Não-Executado;2.840,40
10036/2025;Gestão de Conflitos no Ambiente Corporativo;PDL;GERENCIAL;INTERNO;14/03/2025;30;PRESENCIAL;Realizado;3.210,60
10037/2025;API Development and Design;PDS;TÉCNICA;EXTERNO;04/12/2025;32;EAD;Realizado;2.420,50
10038/2025;Planejamento Estratégico para Líderes;PDL;GERENCIAL;EXTERNO;20/03/2025;35;PRESENCIAL;Realizado;4.350,75
10039/2025;Governance and Compliance;PDL;TRANSVERSAL;INTERNO;24/11/2025;30;EAD;Realizado;2.680,25
10040/2025;Database Design and Optimization;PDS;TÉCNICA;INTERNO;14/04/2025;36;PRESENCIAL;Realizado;3.120,90
10041/2025;Motivação e Engajamento de Equipes;PDL;GERENCIAL;INTERNO;26/03/2025;32;EAD;Realizado;2.940,40
10042/2025;Digital Transformation;PDS;TÉCNICA;EXTERNO;17/07/2025;38;PRESENCIAL;Realizado;4.680,30
10043/2025;IoT Solutions;PDS;TÉCNICA;INTERNO;26/01/2025;32;EAD;Não-Executado;2.390,75
10044/2025;5G Technology;PDS;TÉCNICA;EXTERNO;17/04/2025;40;PRESENCIAL;Realizado;5.120,50
10045/2025;Software Development Lifecycle;PDS;TÉCNICA;INTERNO;14/12/2025;35;EAD;Realizado;2.750,25
10046/2025;Agile Methodology;PDS;TÉCNICA;EXTERNO;04/08/2025;30;PRESENCIAL;Realizado;3.280,60
10047/2025;Scrum Master Certification;PDS;TÉCNICA;INTERNO;24/10/2025;32;EAD;Realizado;2.620,80
10048/2025;Project Management Fundamentals;PDS;GERENCIAL;EXTERNO;12/12/2025;36;PRESENCIAL;Realizado;4.150,45
10049/2025;IT Service Management;PDS;TÉCNICA;INTERNO;08/03/2025;32;EAD;Não-Executado;2.480,90
10050/2026;Data Warehousing;PDS;TÉCNICA;EXTERNO;04/02/2026;40;PRESENCIAL;Realizado;3.950,75
